Time,Channel A
(s),(V)

186.40009305,-0.02191229
186.46675975,-0.02209540
186.53342645,-0.02117985
186.60009315,-0.02325510
186.66675985,-0.02233955
186.73342655,-0.02624592
186.80009325,-0.01977599
186.86675995,-0.02099673
186.93342665,-0.02514725
187.00009335,-0.02227851
187.06676005,-0.02148503
187.13342675,-0.02533036
187.20009345,-0.02349925
187.26676015,-0.02075259
187.33342685,-0.02533036
187.40009355,-0.02343822
187.46676025,-0.02069155
187.53342695,-0.02526933
187.60009365,-0.02368236
187.66676035,-0.02099673
187.73342705,-0.02594073
187.80009375,-0.02624592
187.86676045,-0.02459792
187.93342715,-0.02508621
188.00009385,-0.02471999
188.06676055,-0.02325510
188.13342725,-0.02575762
188.20009395,-0.02423170
188.26676065,-0.02386547
188.33342735,-0.02716147
188.40009405,-0.02728355
188.46676075,-0.02539140
188.53342745,-0.02526933
188.60009415,-0.02710044
188.66676085,-0.02447584
188.73342755,-0.02490310
188.80009425,-0.02636799
188.86676095,-0.02490310
188.93342765,-0.02630696
189.00009435,-0.02673421
189.06676105,-0.02374340
189.13342775,-0.02850429
189.20009445,-0.02606281
189.26676115,-0.02386547
189.33342785,-0.02789392
189.40009455,-0.02661214
189.46676125,-0.02478103
189.53342795,-0.02520829
189.60009465,-0.02868740
189.66676135,-0.02343822
189.73342805,-0.02826014
189.80009475,-0.03234962
189.86676145,-0.02630696
189.93342815,-0.02612384
190.00009485,-0.02716147
190.06676155,-0.02441481
190.13342825,-0.02697836
190.20009495,-0.02832118
190.26676165,-0.02459792
190.33342835,-0.02783288
190.40009505,-0.02703940
190.46676175,-0.02337718
190.53342845,-0.02258370
190.60009515,-0.02667318
190.66676185,-0.02563555
190.73342855,-0.02423170
190.80009525,-0.02496414
190.86676195,-0.02441481
190.93342865,-0.02081362
191.00009535,-0.02813807
191.06676205,-0.02410962
191.13342874,-0.02362133
191.20009544,-0.02636799
191.26676214,-0.02508621
191.33342884,-0.02362133
191.40009554,-0.02526933
191.46676224,-0.02337718
191.53342894,-0.02063051
191.60009564,-0.02447584
191.66676234,-0.02215644
